Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CBAN52,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.1095,6.477,6.7687,0.2187,6.5499,6.9875,1365.415912,92.1364,1382.06,0.1,15/08/2030
CBAN72,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A,15/07/2034,"IPCA + 5,2%",7.1487,6.605,6.9822,0.0394,6.9429,7.0217,1350.556043,91.1337,1378.73,,15/08/2030
CCLS11,CICLUS AMBIENTAL DO BRASIL S.A. (*),15/01/2031,"IPCA + 6,6739%",--,--,7.8224,0.2293,7.5931,8.0518,1115.283904,94.6479,1289.61,,15/08/2030
CCRDD1,CCR S/A (*) (**),15/11/2024,IPCA + 6%,7.7993,7.4635,7.6826,0.1351,7.5475,7.8178,727.707937,99.7815,35,,
CCROA5,CCR S/A (*),15/11/2033,"IPCA + 4,8791%",6.8451,6.5038,6.7251,0.0369,6.6883,6.7621,964.617762,90.2633,1456.36,,15/08/2032
CCROB4,CCR S/A (*) (**),15/12/2028,"IPCA + 4,25%",6.7535,6.2633,6.5145,0.1736,6.3409,6.6882,1231.038783,95.7076,509.27,,15/08/2026
CCROB6,CCR S/A (*),15/01/2036,"IPCA + 6,437%",6.8165,6.4309,6.6348,0.0829,6.5519,6.7178,1135.894953,98.7747,1670.73,,15/05/2033
CEAD11,CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,15/06/2030,"IPCA + 6,6605%",7.0405,6.8693,6.8928,0.2158,6.6769,7.1087,976.220427,99.423,669.47,,15/05/2027
CEAP12,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*) (**),15/07/2030,"IPCA + 6,5%",6.9691,6.5598,6.7457,0.0761,6.6696,6.8218,1050.532389,98.9744,1126.67,,15/05/2029
CEAP14,COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*),15/12/2033,"IPCA + 6,75%",7.0784,6.7218,6.915,0.066,6.849,6.9812,1043.720513,99.0329,1584.2,,15/08/2032
CEAR25,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/12/2024,"IPCA + 6,0013%",--,--,6.1135,0.2,5.9135,6.3136,724.144288,99.9773,54,,
CEAR26,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE,15/06/2025,"IPCA + 6,1965%",5.7827,5.5384,5.6516,0.1845,5.467,5.8362,715.592643,100.3544,173.3,,15/05/2025
CEEBA1,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA,15/08/2025,"IPCA + 6,2214%",--,--,5.8234,0.1761,5.6473,5.9996,464.037146,100.3227,216.29,,15/05/2025
CEEBB6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/08/2030,"IPCA + 6,25%",6.7789,6.4483,6.5945,0.0466,6.5479,6.6412,1038.794069,98.5257,1155.31,,15/08/2030
CEEBB7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2033,"IPCA + 6,1%",6.9165,6.3866,6.6477,0.1612,6.4865,6.809,1024.694696,96.7861,1594.12,,15/08/2032
CEEBC3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2031,"IPCA + 5,8224%",6.8236,6.3695,6.6306,0.0619,6.5686,6.6926,1153.349766,96.266,1256.92,,15/08/2030
CEEBC4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/04/2032,"IPCA + 6,2792%",6.8386,6.4735,6.6843,0.1386,6.5458,6.823,1113.058126,98.0142,1326.45,,15/08/2030
CEED12,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/12/2029,"IPCA + 7,1498%",7.012,6.6173,6.7935,0.0646,6.729,6.8582,1121.3257,101.4571,1095.43,,15/05/2029
CEED13,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),15/07/2030,"IPCA + 6,5%",7.0037,6.5831,6.7579,0.0712,6.6867,6.8293,1049.875871,98.9238,1126.6,,15/05/2029
